Date,Predict Value,Actual Value,Residual,Abs. Residual,% Difference
6/27/2016 8:31,114,127,-13,13,0.102362205
6/27/2016 8:31,114,127,-13,13,0.102362205
6/27/2016 8:41,132,138,-6,6,0.043478261
6/27/2016 8:46,135,137,-2,2,0.01459854
6/27/2016 8:51,138,132,6,6,0.045454545
6/27/2016 8:56,126,126,0,0,0
6/27/2016 9:01,120,120,0,0,0
6/27/2016 9:11,108,118,-10,10,0.084745763
6/27/2016 9:16,112,119,-7,7,0.058823529
6/27/2016 9:21,113,119,-6,6,0.050420168
6/27/2016 9:26,113,118,-5,5,0.042372881
6/27/2016 9:31,112,118,-6,6,0.050847458
6/27/2016 9:36,112,121,-9,9,0.074380165
6/27/2016 9:41,115,125,-10,10,0.08
6/27/2016 9:46,119,131,-12,12,0.091603053
6/27/2016 9:51,131,133,-2,2,0.015037594
6/27/2016 9:51,131,133,-2,2,0.015037594
6/27/2016 10:06,174,144,30,30,0.208333333
6/27/2016 10:11,188,143,45,45,0.314685315
6/27/2016 10:21,215,136,79,79,0.580882353
6/27/2016 10:26,122,138,-16,16,0.115942029
6/27/2016 10:31,124,141,-17,17,0.120567376
6/27/2016 10:36,128,148,-20,20,0.135135135
6/27/2016 10:41,134,153,-19,19,0.124183007
6/27/2016 10:46,140,154,-14,14,0.090909091
6/27/2016 10:51,140,153,-13,13,0.08496732
6/27/2016 10:56,140,149,-9,9,0.060402685
6/27/2016 11:01,136,139,-3,3,0.021582734
6/27/2016 11:06,126,127,-1,1,0.007874016
6/27/2016 11:11,114,121,-7,7,0.05785124
6/27/2016 11:16,108,112,-4,4,0.035714286
6/27/2016 11:21,98,101,-3,3,0.02970297
6/27/2016 11:26,88,90,-2,2,0.022222222
6/27/2016 11:31,76,80,-4,4,0.05
6/27/2016 11:36,66,69,-3,3,0.043478261
6/27/2016 11:41,56,63,-7,7,0.111111111
6/27/2016 11:46,50,56,-6,6,0.107142857
6/27/2016 11:51,42,51,-9,9,0.176470588
6/27/2016 11:56,38,57,-19,19,0.333333333
6/27/2016 12:01,44,74,-30,30,0.405405405
6/27/2016 12:06,60,97,-37,37,0.381443299
6/27/2016 12:11,84,120,-36,36,0.3
6/27/2016 12:16,106,138,-32,32,0.231884058
6/27/2016 12:17,135,148,-13,13,0.087837838
6/27/2016 12:21,138,159,-21,21,0.132075472
6/27/2016 12:26,159,148,11,11,0.074324324
6/27/2016 12:26,159,148,11,11,0.074324324
6/27/2016 12:31,158,153,5,5,0.032679739
6/27/2016 12:36,168,157,11,11,0.070063694
6/27/2016 12:41,178,168,10,10,0.05952381
6/27/2016 12:46,156,168,-12,12,0.071428571
6/27/2016 12:51,156,168,-12,12,0.071428571
6/27/2016 12:56,156,161,-5,5,0.031055901
6/27/2016 13:01,149,150,-1,1,0.006666667
6/27/2016 13:06,138,135,3,3,0.022222222
6/27/2016 13:11,123,124,-1,1,0.008064516
6/27/2016 13:16,112,113,-1,1,0.008849558
6/27/2016 13:21,101,104,-3,3,0.028846154
6/27/2016 13:26,92,96,-4,4,0.041666667
6/27/2016 13:31,84,88,-4,4,0.045454545
6/27/2016 13:36,76,81,-5,5,0.061728395
6/27/2016 13:41,69,75,-6,6,0.08
6/27/2016 13:46,63,76,-13,13,0.171052632
6/27/2016 13:51,64,70,-6,6,0.085714286
6/27/2016 13:56,58,66,-8,8,0.121212121
6/27/2016 14:01,54,64,-10,10,0.15625
6/27/2016 14:06,52,66,-14,14,0.212121212
6/27/2016 14:11,54,76,-22,22,0.289473684
6/27/2016 14:16,64,88,-24,24,0.272727273
6/27/2016 14:21,76,100,-24,24,0.24
6/27/2016 14:26,88,110,-22,22,0.2
6/27/2016 14:31,98,120,-22,22,0.183333333
6/27/2016 14:36,108,129,-21,21,0.162790698
6/27/2016 14:41,117,136,-19,19,0.139705882
6/27/2016 14:46,124,146,-22,22,0.150684932
6/27/2016 14:51,134,155,-21,21,0.135483871
6/27/2016 14:56,143,167,-24,24,0.143712575
6/27/2016 15:01,155,180,-25,25,0.138888889
6/27/2016 15:06,168,190,-22,22,0.115789474
6/27/2016 15:11,178,197,-19,19,0.096446701
6/27/2016 15:16,185,206,-21,21,0.101941748
6/27/2016 15:21,194,215,-21,21,0.097674419
6/27/2016 15:26,203,223,-20,20,0.089686099
6/27/2016 15:36,198,240,-42,42,0.175
6/27/2016 15:41,228,239,-11,11,0.046025105
6/27/2016 15:46,227,239,-12,12,0.050209205
6/27/2016 15:51,227,239,-12,12,0.050209205
6/27/2016 15:56,239,237,2,2,0.008438819
6/27/2016 15:56,239,237,2,2,0.008438819
6/27/2016 16:06,254,233,21,21,0.090128755
6/27/2016 16:30,296,208,88,88,0.423076923
6/27/2016 16:36,304,200,104,104,0.52
6/27/2016 16:41,189,191,-2,2,0.010471204
6/27/2016 16:45,180,182,-2,2,0.010989011
6/27/2016 16:51,171,175,-4,4,0.022857143
6/27/2016 16:55,164,169,-5,5,0.029585799
6/27/2016 17:00,168,172,-4,4,0.023255814
6/27/2016 17:30,154,154,0,0,0
6/27/2016 18:25,134,134,0,0,0
6/27/2016 18:30,133,135,-2,2,0.014814815
6/27/2016 18:35,134,136,-2,2,0.014705882
6/27/2016 18:45,134,135,-1,1,0.007407407
6/27/2016 18:50,134,135,-1,1,0.007407407
6/27/2016 18:55,134,133,1,1,0.007518797
6/27/2016 19:00,132,130,2,2,0.015384615
6/27/2016 19:05,129,127,2,2,0.015748031
6/27/2016 19:10,126,127,-1,1,0.007874016
6/27/2016 19:15,126,127,-1,1,0.007874016
6/27/2016 19:20,126,128,-2,2,0.015625
6/27/2016 19:25,127,128,-1,1,0.0078125
6/27/2016 19:30,127,126,1,1,0.007936508
6/27/2016 19:35,125,120,5,5,0.041666667
6/27/2016 19:40,119,114,5,5,0.043859649
6/27/2016 19:45,114,112,2,2,0.017857143
6/27/2016 19:45,114,112,2,2,0.017857143
6/27/2016 19:50,119,113,6,6,0.053097345
6/27/2016 19:55,126,115,11,11,0.095652174
6/27/2016 20:00,133,116,17,17,0.146551724
6/27/2016 20:05,108,116,-8,8,0.068965517
6/27/2016 20:10,108,116,-8,8,0.068965517
6/27/2016 20:15,108,114,-6,6,0.052631579
6/27/2016 20:20,106,110,-4,4,0.036363636
6/27/2016 20:25,102,107,-5,5,0.046728972
6/27/2016 20:30,99,102,-3,3,0.029411765
6/27/2016 20:35,94,93,1,1,0.010752688
6/27/2016 20:40,85,82,3,3,0.036585366
6/27/2016 20:45,74,68,6,6,0.088235294
6/27/2016 20:50,60,59,1,1,0.016949153
6/27/2016 20:55,51,56,-5,5,0.089285714
6/27/2016 21:00,48,51,-3,3,0.058823529
6/27/2016 21:05,43,47,-4,4,0.085106383
6/27/2016 21:15,32,42,-10,10,0.238095238
6/27/2016 21:20,34,43,-9,9,0.209302326
6/27/2016 21:25,35,46,-11,11,0.239130435
6/27/2016 21:30,38,50,-12,12,0.24
6/27/2016 21:35,42,52,-10,10,0.192307692
6/27/2016 21:40,44,50,-6,6,0.12
6/27/2016 21:45,42,48,-6,6,0.125
6/27/2016 21:50,40,58,-18,18,0.310344828
6/27/2016 21:55,50,50,0,0,0
6/27/2016 22:00,42,47,-5,5,0.106382979
6/27/2016 22:05,39,47,-8,8,0.170212766
6/27/2016 22:10,39,51,-12,12,0.235294118
6/27/2016 22:15,43,70,-27,27,0.385714286
6/27/2016 22:20,62,64,-2,2,0.03125
6/27/2016 22:30,49,60,-11,11,0.183333333
6/27/2016 22:35,52,64,-12,12,0.1875
6/27/2016 22:40,56,73,-17,17,0.232876712
6/27/2016 22:45,65,76,-11,11,0.144736842
6/27/2016 22:50,68,79,-11,11,0.139240506
6/27/2016 22:55,71,83,-12,12,0.144578313
6/27/2016 23:00,75,84,-9,9,0.107142857
6/27/2016 23:05,76,78,-2,2,0.025641026
6/27/2016 23:10,70,78,-8,8,0.102564103
6/27/2016 23:15,70,81,-11,11,0.135802469
6/27/2016 23:20,73,85,-12,12,0.141176471
6/27/2016 23:25,77,89,-12,12,0.134831461
6/27/2016 23:30,81,93,-12,12,0.129032258
6/27/2016 23:35,85,97,-12,12,0.12371134
