Date,Predict Value,Actual Value,Residual,Abs. Residual,% Difference
6/28/2016 0:05,114,122,-8,8,0.06557377
6/28/2016 0:10,120,125,-5,5,0.04
6/28/2016 0:15,123,128,-5,5,0.0390625
6/28/2016 0:20,126,132,-6,6,0.045454545
6/28/2016 0:25,130,135,-5,5,0.037037037
6/28/2016 0:30,133,137,-4,4,0.02919708
6/28/2016 0:35,135,140,-5,5,0.035714286
6/28/2016 0:40,138,143,-5,5,0.034965035
6/28/2016 0:45,141,146,-5,5,0.034246575
6/28/2016 0:50,144,149,-5,5,0.033557047
6/28/2016 0:55,147,148,-1,1,0.006756757
6/28/2016 1:00,146,147,-1,1,0.006802721
6/28/2016 1:05,145,146,-1,1,0.006849315
6/28/2016 1:10,144,146,-2,2,0.01369863
6/28/2016 1:15,144,147,-3,3,0.020408163
6/28/2016 1:20,145,148,-3,3,0.02027027
6/28/2016 1:25,146,151,-5,5,0.033112583
6/28/2016 1:30,149,153,-4,4,0.026143791
6/28/2016 1:35,151,156,-5,5,0.032051282
6/28/2016 1:40,154,157,-3,3,0.01910828
6/28/2016 1:45,155,157,-2,2,0.012738854
6/28/2016 1:50,155,157,-2,2,0.012738854
6/28/2016 1:55,155,158,-3,3,0.018987342
6/28/2016 2:00,156,158,-2,2,0.012658228
6/28/2016 2:05,156,159,-3,3,0.018867925
6/28/2016 2:10,157,160,-3,3,0.01875
6/28/2016 2:15,158,160,-2,2,0.0125
6/28/2016 2:20,158,162,-4,4,0.024691358
6/28/2016 2:25,160,164,-4,4,0.024390244
6/28/2016 2:30,162,164,-2,2,0.012195122
6/28/2016 2:35,162,162,0,0,0
6/28/2016 2:40,160,160,0,0,0
6/28/2016 2:45,158,160,-2,2,0.0125
6/28/2016 2:50,158,159,-1,1,0.006289308
6/28/2016 2:55,157,160,-3,3,0.01875
6/28/2016 3:00,158,158,0,0,0
6/28/2016 3:05,156,153,3,3,0.019607843
6/28/2016 3:10,151,151,0,0,0
6/28/2016 3:15,149,150,-1,1,0.006666667
6/28/2016 3:20,148,149,-1,1,0.006711409
6/28/2016 3:25,147,149,-2,2,0.013422819
6/28/2016 3:30,147,149,-2,2,0.013422819
6/28/2016 3:35,147,147,0,0,0
6/28/2016 3:40,145,144,1,1,0.006944444
6/28/2016 3:45,142,144,-2,2,0.013888889
6/28/2016 3:50,142,154,-12,12,0.077922078
6/28/2016 3:55,152,154,-2,2,0.012987013
6/28/2016 4:00,151,154,-3,3,0.019480519
6/28/2016 4:05,151,154,-3,3,0.019480519
6/28/2016 4:10,151,153,-2,2,0.013071895
6/28/2016 4:15,150,153,-3,3,0.019607843
6/28/2016 4:20,150,154,-4,4,0.025974026
6/28/2016 4:25,151,158,-7,7,0.044303797
6/28/2016 4:30,155,157,-2,2,0.012738854
6/28/2016 4:35,154,156,-2,2,0.012820513
6/28/2016 4:40,153,152,1,1,0.006578947
6/28/2016 4:45,149,148,1,1,0.006756757
6/28/2016 4:50,145,146,-1,1,0.006849315
6/28/2016 4:55,143,139,4,4,0.028776978
6/28/2016 5:00,136,133,3,3,0.022556391
6/28/2016 5:05,130,131,-1,1,0.007633588
6/28/2016 5:10,128,129,-1,1,0.007751938
6/28/2016 5:15,126,128,-2,2,0.015625
6/28/2016 5:20,125,128,-3,3,0.0234375
6/28/2016 5:25,125,128,-3,3,0.0234375
6/28/2016 5:30,125,126,-1,1,0.007936508
6/28/2016 5:35,123,121,2,2,0.016528926
6/28/2016 5:40,118,120,-2,2,0.016666667
6/28/2016 5:45,117,119,-2,2,0.016806723
6/28/2016 5:50,116,118,-2,2,0.016949153
6/28/2016 5:55,115,119,-4,4,0.033613445
6/28/2016 6:00,115,118,-3,3,0.025423729
6/28/2016 6:05,114,119,-5,5,0.042016807
6/28/2016 6:10,115,118,-3,3,0.025423729
6/28/2016 6:15,114,118,-4,4,0.033898305
6/28/2016 6:20,114,118,-4,4,0.033898305
6/28/2016 6:25,114,115,-1,1,0.008695652
6/28/2016 6:30,111,114,-3,3,0.026315789
6/28/2016 6:35,110,111,-1,1,0.009009009
6/28/2016 6:40,107,106,1,1,0.009433962
6/28/2016 6:45,102,103,-1,1,0.009708738
6/28/2016 6:50,99,114,-15,15,0.131578947
6/28/2016 6:55,110,119,-9,9,0.075630252
6/28/2016 7:00,115,118,-3,3,0.025423729
6/28/2016 7:05,114,113,1,1,0.008849558
6/28/2016 7:10,109,113,-4,4,0.03539823
6/28/2016 7:15,109,114,-5,5,0.043859649
6/28/2016 7:20,110,112,-2,2,0.017857143
6/28/2016 17:40,231,220,11,11,0.05
6/28/2016 17:45,219,217,2,2,0.00921659
6/28/2016 17:55,215,220,-5,5,0.022727273
6/28/2016 18:00,219,214,5,5,0.023364486
6/28/2016 18:05,213,210,3,3,0.014285714
6/28/2016 18:10,209,206,3,3,0.014563107
6/28/2016 18:15,205,198,7,7,0.035353535
6/28/2016 18:25,196,194,2,2,0.010309278
6/28/2016 18:30,193,195,-2,2,0.01025641
6/28/2016 18:35,194,199,-5,5,0.025125628
6/28/2016 18:40,198,200,-2,2,0.01
6/28/2016 18:45,199,200,-1,1,0.005
6/28/2016 18:50,199,198,1,1,0.005050505
6/28/2016 18:55,197,197,0,0,0
6/28/2016 19:00,196,197,-1,1,0.005076142
6/28/2016 19:10,195,194,1,1,0.005154639
6/28/2016 19:15,193,199,-6,6,0.030150754
6/28/2016 19:20,198,207,-9,9,0.043478261
6/28/2016 23:45,96,96,0,0,0
6/28/2016 23:50,93,93,0,0,0
6/28/2016 23:55,90,90,0,0,0
6/29/2016 0:00,88,87,1,1,0.011494253
6/29/2016 0:05,85,85,0,0,0
6/29/2016 0:10,83,82,1,1,0.012195122
6/29/2016 0:15,80,79,1,1,0.012658228
6/29/2016 0:20,77,78,-1,1,0.012820513
6/29/2016 0:25,76,78,-2,2,0.025641026
6/29/2016 0:30,76,77,-1,1,0.012987013
6/29/2016 0:35,75,76,-1,1,0.013157895
6/29/2016 0:40,74,74,0,0,0
6/29/2016 0:45,72,76,-4,4,0.052631579
6/29/2016 0:50,74,71,3,3,0.042253521
6/29/2016 0:55,69,61,8,8,0.131147541
6/29/2016 1:00,59,58,1,1,0.017241379
6/29/2016 1:05,56,59,-3,3,0.050847458
6/29/2016 1:10,57,66,-9,9,0.136363636
6/29/2016 1:15,64,68,-4,4,0.058823529
6/29/2016 1:20,66,74,-8,8,0.108108108
6/29/2016 1:25,72,86,-14,14,0.162790698
6/29/2016 1:30,84,97,-13,13,0.134020619
6/29/2016 1:35,95,106,-11,11,0.103773585
